Feature,Importance
HasMultipleProducts,0.19144979422865857
Age,0.14968822666996054
IsActiveMember,0.12757042508691463
Products_per_Tenure,0.09099190197476832
Balance,0.08807717811304533
NumOfProducts,0.06552150184692508
Geography_Germany,0.045753164054161244
Balance_to_Salary_Ratio,0.03808902597075529
EstimatedSalary,0.03765663942562641
Age_to_Tenure_Ratio,0.03339520336227325
CreditScore,0.03206487937462724
Credit_to_Salary_Ratio,0.030812274890048893
Tenure,0.022756189614021656
IsYoungInactive,0.013009776830763174
Geography_Spain,0.011185638939897907
HasCrCard,0.008740929389218187
IsLongTermCustomer,0.008604334037182616
Gender_Male,0.0032619988295099042
IsHighValueCustomer,0.0011071898969850788
IsOldInactive,0.0002637274646568533
